OZCode,ID,Carbon_fraction,Pretreatment,Final_weight (ug)
Y131U1,32,Charcoal <63 um,ABA,1.65ug
Y133,171,Charcoal >250 um,ABA,3.67ug
Y134,171,Charcoal >63 um,ABA,1.52ug
Y135,171,Charcoal <63 um,ABA,0.46ug
Y136,94,Charcoal >250 um,ABA,3.35ug
Y137,94,Charcoal >63 um,ABA,1.05ug
Y138,94,Charcoal <63 um,ABA,6.03ug
Y139,94,Pollen,ABA,1.71ug
Y331,170,,,
Y332,282,,,
